titulo,año,nombre,apellido,isbn,estante,editorial,año,volumen,claveIngreso,colección,edicion,adquisicion,numClasificacion,materias
Spatial Behavior: A Geographic Perspective,1776,Reginald G. Golledge & Robert J. Stimson,d,5.24E+64,N/A,The Guilford Press,1813,182,2C,182,182,A,300,j
Ecología Forestal: Bases para el manejo sustentable y conservación de los bosques nativos de Chile,1775,C. Donosoy ME Gonzálezy A. Lara (editores),d,5.24E+84,N/A,Ediciones UACh (Universidad Austral de Chile),1812,183,3D,183,183,C,400,j
Aprender a Cuidar. Didactica del Proceso de Enfermeria.,1774,Ayalay Ricardo y Messingy Beate,d,52352,N/A,Mediterraneo,1811,184,4E,184,184,E,500,j
Gestion del Cuidado en Enfermeria.,1773,Ayalay Ricardo  Torresy Cristina y Calvoy M Julia,d,5.24E+84,N/A,Mediterraneo,1810,185,1A,185,185,B,600,j
Gestion del Cuidado en Enfermeria.,1771,Ayalay Ricardo  Torresy Cristina y Calvoy M Julia,d,5.24E+84,N/A,Mediterraneo,1809,186,1B,186,186,D,700,j
Aprender a Cuidar. Didactica del Proceso de Enfermeria.,1770,Ayalay Ricardo y Messingy Beate,d,52352,N/A,Mediterraneo,1808,187,2C,187,187,A,800,j
Aprender a Cuidar. Didactica del Proceso de Enfermeria.,1769,Ayalay Ricardo y Messingy Beate,d,52352,N/A,Mediterraneo,1807,188,3D,188,188,C,900,j
Gestion del Cuidado en Enfermeria.,1768,Ayalay Ricardo  Torresy Cristina y Calvoy M Julia,d,5.24E+84,N/A,Mediterraneo,1806,189,4E,189,189,E,100,j
Aprender a Cuidar. Didactica del Proceso de Enfermeria.,1767,Ayalay Ricardo y Messingy Beate,d,52352,N/A,Mediterraneo,1805,190,1A,190,190,B,200,j
Geomorfología,1765,Mateo Gutiérrez Elorza,d,5.24E+64,N/A,Pearson,1804,191,1B,191,191,D,300,j
Atlas para la identificacion de elementos parasitarios microscopicos en deposiciones,1764,Maria Isabel Jercic Lara - Patricio Torres Hevia,d,5.24E+84,N/A,Instituto de Salud Publica de Chiley Ministerio de Salud,1803,192,2C,192,192,A,400,j
The American Vitruvius: An Architects Handbook of Civic Art,1763,WERNER HEGEMANNy ELBERT PEETS,d,5.24E+69,N/A,De Facto Publishing ,1802,193,3D,193,193,C,500,j
Sittey Hegemann and the Metropolis: Modern Civic Art and International Exchanges,1762,Charles C. Bohly Jean-François Lejeune ,d,5.24E+64,N/A, Routledge,1801,194,4E,194,194,E,600,j
PROYECCIONES RADIOLOGICAS Y CORRELACION ANATOMICA (6ª ED.),1761,KENNETH L. BONTRAGER  J. LAMPIGNANO,d,5.24E+64,N/A,ELSEVIER ESPAÑA,1800,195,1A,195,195,B,700,j
Techniques for Virtual Palaeontology,1759,Mark Suttony Imran Rahmany Russell Garwood ,d,5.24E+84,N/A,Wiley,1799,196,1B,196,196,D,800,j
¿Quién le póne el cascabel al gato?,1758,Guillermo Ward Gómez,d,5.24E+84,N/A,Autoedición Financiada FC Go.Reg. Tarapacá Emelnor Impresores,1798,197,2C,197,197,A,900,j
DIDACTICA DE LA LIBERACION: ARTE CONCEPTUALISTA LATINOAMERICANO,1757,LUIS CAMNITZER,d,5.24E+64,N/A,CENDEAC,1797,198,3D,198,198,C,100,j
Teorías e Historia de la Arquitectura ,1756,Manfredo Tafuri,d,5.24E+64,N/A,Celeste,1796,199,4E,199,199,E,200,j
Peter Zumthor: Buildings and Projectsy 1985-2013,1755,thomas Durisch,d,5.24E+84,N/A,Scheidegger und Spiess AGy Verlag,1795,200,1A,200,200,B,300,j
LA ESFERA Y EL LABERINTOy Vanguardia y arquitectura de Piranesi a los años 70 ,1753,TAFURI MANFREDO,d,5.24E+64,N/A,GUSTAVO GILI,1794,201,1B,201,201,D,400,j
Arquitectura Contemporánea,1752,Manfredo Tafuri,d,5.24E+64,N/A,Aguilar-Asuri,1793,202,2C,202,202,A,500,j
Fundamentos de Economía,1751,Krugmany Paul  Wellsy Robin  Graddyy Kathryn,d,5.24E+64,N/A,Reverté,1792,203,3D,203,203,C,600,j
Form in tonal music: an introduction to analysis,1750,Douglass M. Green,d,5.24E+69,N/A,Holty Rinehart & Winston,1791,204,4E,204,204,E,700,j
Anthology of Musical Analysis,1749,Charles Burkhart,d,5.24E+99,N/A,Wadsworth Publishing Co Inc ,1790,205,1A,205,205,B,800,j
INGENIERIA DE CARRETERAS Vol. II,1747,Carlos Kraemery Miguel Angel del Val,d,5.24E+64,N/A,MCGRAW-HILL / INTERAMERICANA DE ESPAÑA S.A.,1789,206,1B,206,206,D,900,j
Handbook of Marine Craft Hydrodynamics and Motion Control,1746,Thor I Fossen,d,5.24E+49,N/A,Wiley,1788,207,2C,207,207,A,100,j
Guidance and Control of Ocean Vehicles,1745,Thor I Fossen,d,5.24E+44,N/A,Wiley,1787,208,3D,208,208,C,200,j
Suelos de Chile,1744,Walter Luzioy editor,d,5.24E+49,N/A,Walter Luzio,1786,209,4E,209,209,E,300,j
Historia de la música occidental de Carlos Poblete Varas,1743,Carlos Poblete Varas,d,5.24E+24,N/A,Ediciones Universitarias de Valparaísoy Universidad Católica de Valparaíso.,1785,210,1A,210,210,B,400,j
Por una pedagogía de la pregunta,1741,Paulo Freire y  Antonio Faundez,d,5.24E+84,N/A,978-987-629-327-3,1784,211,1B,211,211,D,500,j
Corpus,1740,Jean-Luc Nancy,d,5.24E+64,N/A,Arena Libros,1783,212,2C,212,212,A,600,j
Ulises,1739,James Joyce,d,5.24E+49,N/A,Cátedra,1782,213,3D,213,213,C,700,j
Construyendo escuelas democráticas,1738,Feito Alonsoy Rafael / López Ruizy Juan Ignacio,d,5.24E+74,N/A,Hipatia,1781,214,4E,214,214,E,800,j
El legado Pedagógico del siglo XX para la escuela del siglo XXI,1737,Jaume Trilla (coord.),d,5.24E+64,N/A,GRAO,1780,215,1A,215,215,B,900,j
Aprendizaje dialógico en la Sociedad de la Información,1735,Adriana Auberty Ainhoa Flechay Carmen Garcíay Ramón Flecha y Sandra Racionero,d,5.24E+84,N/A,Hipatia,1779,216,1B,216,216,D,100,j
Administración y Gestión efectiva en la unidad escolar,1734,Claudio Figueroa López,d,5.24E+84,N/A,Universidad de Playa Ancha,1778,217,2C,217,217,A,200,j
Geomorfología,1733,Mateo Gutierrez Elorza,d,5.24E+64,N/A,Prentice Hall,1777,218,3D,218,218,C,300,j
Parasitología humana,1732,Werner Apt. B.,d,5.24E+49,N/A,Mc Graw Hill,1776,219,4E,219,219,E,400,j
The Anthropology of Self and Behavior,1731,Gerald Michael Erchak,d,5.24E+64,N/A,Rutgers University Press,1775,220,1A,220,220,B,500,j
New Directions in Psychological Anthropology,1729,heodore Schwartzy Geoffrey M. White y Catherine A. Lutz,d,5.24E+64,N/A,Cambridge University Press,1774,221,1B,221,221,D,600,j
Prueba,1728,Prueba,d,5.24E+44,N/A,Prueba,1773,222,2C,222,222,A,700,j
Prueba,1727,ICI,d,5.24E+44,N/A,UACh,1772,223,3D,223,223,C,800,j
Micología - Médica Básica,1726,Alexandro Bonifaz,d,5.24E+84,N/A,McGraw Hill,1771,224,4E,224,224,E,900,j
OBRAS MAESTRAS DE LA ARQUITECTURA MUNDIAL,1725,WILL PRYCE,d,5.24E+84,N/A,Blume,1770,225,1A,225,225,B,100,j
100 ideas que cambiaron la arquitecura,1723,Richard Weston,d,5.24E+84,N/A,Blume,1769,226,1B,226,226,D,200,j
Leer la arquitecuray diccionario visual,1722,Owen Hopkins,d,5.24E+64,N/A,Blume,1768,227,2C,227,227,A,300,j
Bases Científicas de la Drogadicción,1721,María Estela Andrésy José Antonio Fuentealbay Katia Gysling. Ramón Sotomayor,d,5.24E+64,N/A,Ediciones Universidad Católica de Chile,1767,228,3D,228,228,C,400,j
Métodos de investigación clínica y epidemiológica,1720,Josep Ma Argimon Pallás,d,5.24E+84,N/A,Elsevier,1766,229,4E,229,229,E,500,j
Principles of paleontology,1719,Michael Foote and Arnold Miller,d,5.24E+64,N/A,W H Freeman,1765,230,1A,230,230,B,600,j
Macroevolution: Diversityy Disparityy Contingency: Essays in Honor of Stephen Jay Gould,1717,Elisabeth S Vrba and Niles Eldredge,d,5.24E+49,N/A,Paleontological Society,1764,231,1B,231,231,D,700,j
Nelson Tratado de Pediatría,1716,Behrman,d,5.24E+64,N/A,Elsevier ,1763,232,2C,232,232,A,800,j
Invitation to Oceanography,1715,Pinety Paul,d,5.24E+69,N/A,Jones & Bartlett,1762,233,3D,233,233,C,900,j
Estuaries: A Physical Introduction,1714,Dyery Keith,d,5.24E+69,N/A,Wiley,1761,234,4E,234,234,E,100,j
Obstetrics: Normal and Problem Pregnancies:,1713,Gabbe S.,d,5.24E+64,N/A,saunders,1760,235,1A,235,235,B,200,j
Fetal Monitoring Interpretation,1711,Micki L.,d,5.24E+64,N/A,Lippincott Williams and Wilkins,1759,236,1B,236,236,D,300,j
cirugía endoscópica en ginecología,1710,garza leal/bustos lopez,d,5.24E+64,N/A,panamericana,1758,237,2C,237,237,A,400,j
Doppler en medicina fetal,1709,gratacos,d,5.24E+49,N/A,panamericana,1757,238,3D,238,238,C,500,j
GRANDES CALLES,1708,ALLAN B. JACOBS,d,5.24E+64,N/A,UNIVERSIDAD DE CANTABRIA,1756,239,4E,239,239,E,600,j
EL CONOCIMIENTO SECRETO ,1707,David Hockney,d,5.24E+64,N/A,Destino,1755,240,1A,240,240,B,700,j
EL CONOCIMIENTO SECRETO ,1705,David Hockney,d,5.24E+64,N/A,Destino,1754,241,1B,241,241,D,800,j
Finanzas Corporativas,1704,Johnathan Berky Peter DeMarzo,d,5.24E+49,N/A,Pearson Chile,1753,242,2C,242,242,A,900,j
Las Finanzas en las Empresas Multinacionales,1703,David Eitemany Arthur Stonehilly Michael Moffet,d,5.24E+64,N/A,Pearson Chile,1752,243,3D,243,243,C,100,j
Ecological Urbanism,1702,Varios autores,d,5.24E+84,N/A, Harvard University Graduate School of Design – Mohsen Mostafavi y Gareth Doherty,1751,244,4E,244,244,E,200,j
INTRODUCCION AL URBANISMO. LA EVOLUCIÓN DE LAS CIUDADES: LA LECCIÓN DE LA ANTIGÜEDAD,1701,MARCEL POETE,d,5.24E+84,N/A,FUNDACION CAJA DE ARQUITECTOS,1750,245,1A,245,245,B,300,j
chilean modern architecture since 1950,1699,Fernado Perez Oyarzuny Rodrigo Perez de Arcey Horacio Torrent Schenider,d,5.24E+84,N/A,Texas A&M University Pressy College Station,1749,246,1B,246,246,D,400,j
Pathologic Basis of Veterinary Disease,1698,James F. Zachary  -  M. Donald McGavin,d,5.24E+44,N/A,Mosby,1748,247,2C,247,247,A,500,j
Psicologia,1697,David Myers,d,5.24E+64,N/A,Medica Panamericana,1747,248,3D,248,248,C,600,j
Teorías de la Personalidad,1696,james Fadiman y Robert frager,d,5.24E+64,N/A,Oxford university press,1746,249,4E,249,249,E,700,j
Urbanismo Bioclimático,1695,Esther Higueras García,d,5.24E+84,N/A,Gustavo Gili- España,1745,250,1A,250,250,B,800,j
DICCIONARIO DE TERMINOS SOBRE LA CIUDAD Y LO URBANO,1693,Lorenzo López Trigal,d,5.24E+84,N/A,Biblioteca Nueva SL,1744,251,1B,251,251,D,900,j
Pediatría Ambulatoria,1692,Arnoldo Quezada,d,5.24E+84,N/A,Mediterráneo,1743,252,2C,252,252,A,100,j
Pediatría Ambulatoria con Enfoque Integral ,1691,Patricia Valenzuela C.  Rosario Moore,d,5.24E+64,N/A,Ediciones Universidad Católica,1742,253,3D,253,253,C,200,j
Semiología Pediatrica,1690,Shonhaut L.y Assef M.,d,5.24E+64,N/A,Mediterráneo,1741,254,4E,254,254,E,300,j
Desarrollo Humano,1689,Diane Papalia,d,5.24E+49,N/A,McGraw-Hill,1740,255,1A,255,255,B,400,j
Dimensions of the Sustainable City,1687,Jenksy Mike  Jonesy Colin (Eds.),d,5.24E+84,N/A,Springer,1739,256,1B,256,256,D,500,j
2G LIBROSy LINA BOBARDIy OBRA CONSTRUIDA,1686,OLIVIA DE OLIVEIRA,d,5.24E+64,N/A,GGILI,1738,257,2C,257,257,A,600,j
la ciudad generica,1685,Rem Koolhaas,d,5.24E+64,N/A,GGILI,1737,258,3D,258,258,C,700,j
Arquitectura y politicay ensayos para mundos anternativos,1684,JOSEP MARIA MONTANERy ZAIDA MUXI,d,5.24E+64,N/A,GGILI,1736,259,4E,259,259,E,800,j
LA ARQUEOLOGIA DEL SABER,1683,MICHEL FOUCAULT,d,5.24E+64,N/A,SIGLO XXI,1735,260,1A,260,260,B,900,j
DICCIONARO MANUAL ILUSTRADO DE ARQUITECTURA,1681,DORA WAREy BETTY BEATY,d,5.24E+64,N/A,GGILI,1734,261,1B,261,261,D,100,j
Espacio Basura,1680,Rem Koolhaas,d,5.24E+64,N/A,GGILI,1733,262,2C,262,262,A,200,j
SENDAS ONIRICAS DE SINGAPURy RETRATO DE UNA METROPOLIS POTEMKIM… O TREINTA AÑOS DE TABLA RASA,1679,Rem Koolhaas,d,5.24E+64,N/A,GGILI,1732,263,3D,263,263,C,300,j
ARQUITECTURA MODERNA EN ZONAS SISMICAS,1678,TERESA GUEVARA,d,5.24E+64,N/A,GGILI,1731,264,4E,264,264,E,400,j
SISTENAS ARQUITECTONICOS CONTEMPORANEOS,1677,JOSEP MARIA MONTANER,d,5.24E+69,N/A,GGILI,1730,265,1A,265,265,B,500,j
ALEGORIA DEL PATRIMONIO,1675,FRANCOISE CHOAY,d,5.24E+69,N/A,GGILI,1729,266,1B,266,266,D,600,j
APRENDIENDO DEL POP,1674,DENISE SCOTT BROWN,d,5.24E+64,N/A,GGILI,1728,267,2C,267,267,A,700,j
APRENDIENDO DEL POP,1673,DENISE SCOTT BROWN,d,5.24E+64,N/A,GGILI,1727,268,3D,268,268,C,800,j
IDEAS QUE HAN CONFIGURADO EDIFCIIOS,1672,FIL HEARN,d,5.24E+64,N/A,GGILI,1726,269,4E,269,269,E,900,j
MEGAESTRUCTURASy FUTURO URBANO DEL PASADO RECIENTE,1671,REYNER BANHAM,d,5.24E+64,N/A,GGILI,1725,270,1A,270,270,B,100,j
DIEZ EDIFICIO CANONICOS 1950-2000,1669,PETER EISENMAN,d,5.24E+64,N/A,GGILI,1724,271,1B,271,271,D,200,j
CASA CON PATIO,1668,GÜNTER PFEIFERy PER BRAUNECK,d,5.24E+64,N/A,GGILI,1723,272,2C,272,272,A,300,j
manifiestosyproclamas y polémicas de la vanguardia literaria hispanoamericana,1667,Osorioy Nelson,d,5.24E+64,N/A,Biblioteca Ayacucho,1722,273,3D,273,273,C,400,j
Estética de la desaparición,1666,Virilioy Paul,d,5.24E+64,N/A,Anagrama,1721,274,4E,274,274,E,500,j
Después del fin del arte.El arte contemporáneo y el linde de la historia,1665,DantoyColemany Arthur,d,5.24E+64,N/A,Paidos,1720,275,1A,275,275,B,600,j
Handbook of Food Safety Engineering,1663,Da-Wen-Sun (editor),d,5.24E+84,N/A,Wiley-Blackwell,1719,276,1B,276,276,D,700,j
Historia del presente inmediatoy la invencion del movimiento moderno arquitectonico,1662,Anthony Vidler,d,5.24E+64,N/A,Gustavo Gili,1718,277,2C,277,277,A,800,j
Vigilar y Castigar,1661,Michel Foucault,d,5.24E+89,N/A,Siglo XXI,1717,278,3D,278,278,C,900,j
Atmosferas,1660,Peter Zumthor,d,5.24E+64,N/A,Gustavo Gili,1716,279,4E,279,279,E,100,j
La buena viday visita guiada a las casas de la modernidad,1659,Iñaki Abalos,d,5.24E+64,N/A,Gustavo Gili,1715,280,1A,280,280,B,200,j
Grandezay o el problema de la talla,1657,Rem Koolhaas,d,5.24E+64,N/A,Gustavo Gili,1714,281,1B,281,281,D,300,j
La arqueologia del saber,1656,Michael Foucault,d,5.24E+64,N/A,Siglo XXI,1713,282,2C,282,282,A,400,j
La ciudad,1655,Massino Cacciari,d,5.24E+64,N/A,Gustavo Gili,1712,283,3D,283,283,C,500,j
Pensar la arquitectura,1654,Peter Zumthor,d,5.24E+64,N/A,Gusravo Gili,1711,284,4E,284,284,E,600,j
La arquitectura compuesta por partes,1653,Anton Capitel,d,5.24E+64,N/A,gustavo gili,1710,285,1A,285,285,B,700,j
Arquitectura latinoamericana contemporanea,1651,Hugo Segawa,d,5.24E+64,N/A,gustavo gili,1709,286,1B,286,286,D,800,j
HISTORIA CRITICA DE LA ARQUITECTURA MODERNA,1650,KENNET FRAMPTON,d,5.24E+64,N/A,GUSTAVO GILI,1708,287,2C,287,287,A,900,j
LA ARQUITECTURA MODERNAy UNA HISTORIA DESAPASIONADA,1649,ALAN COLQUHOUN,d,5.24E+64,N/A,GUSTAVO GILI,1707,288,3D,288,288,C,100,j
Lo Ordinario,1648,Enrique Walker,d,5.24E+64,N/A,Gustavo Gili,1706,289,4E,289,289,E,200,j
HISTORIA DE LA ARQUTECTURA MEXICANA,1647,ENRIQE X.DE ANDA,d,5.24E+64,N/A,GUSTAVO GILI,1705,290,1A,290,290,B,300,j
Cuestiones de persepciony Fenomenologia de la arquitectura,1645,Steven Holl,d,5.24E+64,N/A,Gustavo Gili,1704,291,1B,291,291,D,400,j
Administración de Operaciones. Conceptos y casos contemporáneos,1644,Roger G. Schroeder,d,5.24E+84,N/A,Mc Graw Hill,1703,292,2C,292,292,A,500,j
Color ambientaly aplicaciones en arquitectura,1643,TOM PORTER,d,5.24E+64,N/A,TRILLAS,1702,293,3D,293,293,C,600,j
The history of the theory of structures: from arch analysis to computational mechanics,1642,Karl-Eugen Kurrer,d,5.24E+64,N/A,Ernst & Sohn,1701,294,4E,294,294,E,700,j
Arte desde 1900: modernidady antimodernidady posmodernidad,1641,Hal Fostery Rosalind E. Kraussy Yves-Alain Bois,d,5.24E+99,N/A,AKAL,1700,295,1A,295,295,B,800,j
URBAN ECOLOGY. Patternsy Processesy and Applications,1639,Jari Niemeläy Jürgen H. Breustey Glenn Guntenspergeny Nancy E. McIntyrey Thomas Elmqvisty and Philip,d,5.24E+84,N/A,OXFORD,1699,296,1B,296,296,D,900,j
Descriptive Physical Oceanography,1638,Talleyy L.y Pickardy G.y Emeryy W.y Swifty J.,d,5.24E+44,N/A,Academic Press,1698,297,2C,297,297,A,100,j
Obstetricia,1637,Alfredo Pérez Sanchez- Enrique Donoso,d,5.24E+74,N/A,Mediterráneo,1697,298,3D,298,298,C,200,j
Obras completas George Trakl,1636,Trakly George,d,5.24E+84,N/A,Editorial Trotta S.A.,1696,299,4E,299,299,E,300,j
Poesía completa,1635,Trakly George,d,5.24E+74,N/A,Editorial Trotta S.A.,1695,300,1A,300,300,B,400,j
The history of the theory of structures,1633,Eugen Kurrer,d,5.24E+49,N/A,wiley-vch,1694,301,1B,301,301,D,500,j
The tower and the bridge: The new art of structural engineering,1632,David P. Billington,d,5.24E+64,N/A,princeton university press,1693,302,2C,302,302,A,600,j
Nonthermal Processing Technologies for Food,1631,H. Zhang  G. Barbosa-Cánovas  B. Balasubramaniam  P. Dunne  D. Farkas  J. Yuan (editores) ,d,5.24E+84,N/A,Wiley-Blackwell,1692,303,3D,303,303,C,700,j
Handbook of soil analysis: mineralogicaly organic and inorganic methods,1630,Marc Pansuy Jacques Gautheyrou,d,5.24E+64,N/A,Springer,1691,304,4E,304,304,E,800,j
Suelos de Chile,1629,Walter Luzio,d,5.24E+84,N/A,Universidad de Chile,1690,305,1A,305,305,B,900,j
Circulation and the City  Essays on Urban Culture,1627,Alexandra Boutros and Will Straw,d,5.24E+94,N/A,Mc Gill-queens University Press,1689,306,1B,306,306,D,100,j
Handbook of Potato Productiony Improvementy And Postharvest Management,1626, J. Gopal and S. M. Paul Khurana,d,5.24E+49,N/A,Haworth Pr Inc,1688,307,2C,307,307,A,200,j
Administracion de Operaciones,1625,David Collier - James Evans,d,5.24E+64,N/A,CENGAGE Learning,1687,308,3D,308,308,C,300,j
Practical Food Rheology: An Interpretive Approach,1624,Nortony I.  Spyropoulosy F.  Coxy P. (Editores),d,5.24E+84,N/A,Wiley-Blackwell,1686,309,4E,309,309,E,400,j
Urban Ecology (Ecological Reviews),1623,Kevin J. Gaston (Editor),d,5.24E+64,N/A,Cambridge University Press,1685,310,1A,310,310,B,500,j
Molecular Biology of the Cell,1621,Bruce Alberts et al,d,5.24E+84,N/A,Garland,1684,311,1B,311,311,D,600,j
Ultrasound Physics Review: A Review for the Ardms SPI Exam ,1620,Cindy Owen,d,5.24E+44,N/A,Davies  (ver: http://www.amazon.com/Ultrasound-Physics-Review-Ardms-Exam/dp/0941022749/ref=dp_cp_ob_,1683,312,2C,312,312,A,700,j
Adaptabilidade Humanay Introduçao a Antropologia Ecologica.,1619,Emilio F. Moran,d,5.24E+49,N/A,EDUSP,1682,313,3D,313,313,C,800,j
La sociedad sin relato. Antrop.y estética de la inminencia,1618,Néstor García Canclini,d,5.24E+64,N/A,Katz editores,1681,314,4E,314,314,E,900,j
Arquitectura del paisaje,1617,KRAUELy Jacobo. ,d,5.24E+64,N/A,Ed. Links Structure,1680,315,1A,315,315,B,100,j
Landscape ecology,1615,FORMANy Richard T.T. and GODRONy Michel,d,5.24E+99,N/A,Wiley & Sons Incy New York,1679,316,1B,316,316,D,200,j
La arquitectura de los jardines. De la antigüedad al siglo XX. ,1614,FARIELLOy Francesco.,d,5.24E+99,N/A,Ed.Mairea-Celestey Madrid ,1678,317,2C,317,317,A,300,j
ECOLOGIA URBANA,1613,JAUME TERRADAS,d,5.24E+64,N/A,RUBES,1677,318,3D,318,318,C,400,j
Física,1612,Jerry Wilson-Anthony Buffa- Bo Lou,d,5.24E+84,N/A,PEARSON educación,1676,319,4E,319,319,E,500,j
Fundamentos de radiología dental,1611,Whaitesy E.,d,5.24E+49,N/A,Elsevier,1675,320,1A,320,320,B,600,j
Las bases de la medicina basada en evidencias: Como leer un documento.,1609,Greenhalghy T.y & Gimenezy J. ,d,5.24E+49,N/A,Volpe/Fox,1674,321,1B,321,321,D,700,j
Epidemiología clínica. Investigación clínica aplicada,1608,Álvaro Ruiz Morales y Luis Enrique Morillo Zárate,d,5.24E+64,N/A,Médica Panamericanay S.A.,1673,322,2C,322,322,A,800,j
Diseño de Investigaciones Clínicas,1607,Stephen B. Hulley. Steven M. Cummings Warren S. Browner Deborah G. Grady Thomas B. Newman,d,5.24E+49,N/A,Lippincotty Willians & Wilkins,1672,323,3D,323,323,C,900,j
Research Methodology in the Medical and Biological Sciences ,1606,Petter Laakey Haakon Breien Benestady Bjorn Reino Olsen,d,5.24E+44,N/A,Academic Press,1671,324,4E,324,324,E,100,j
Statistical and Methodological Aspects of Oral Health Research,1605,Emmanuel Lesaffrey Jocelyne Feine (Co-Editor)y Brian Leroux (Co-Editor)y Dominique Declerck (Co-Edit,d,5.24E+84,N/A,John Wiley & Sonsy Inc.,1670,325,1A,325,325,B,200,j
How Many Subjects?: Statistical Power Analysis in Research,1603,Helena Chmura Kraemery Sue Thiemann,d,5.24E+44,N/A,Sage Publicationsy Inc,1669,326,1B,326,326,D,300,j
Evidence-based Dentistry: Managing Information for Better Practice,1602, Derek Richardsy Jan Clarksony Debora Matthewsy Rick Niederman,d,5.24E+49,N/A,Quintessence Publishing Co Ltd,1668,327,2C,327,327,A,400,j
Nutrient Requirements of Small Ruminants:Sheepy Goatsy Cervidsy and New World Camelids ,1601,National Research Council,d,5.24E+99,N/A,National Academy Press,1667,328,3D,328,328,C,500,j
Historia de la crítica literaria del siglo XX. Del formalismo al postestructuralismo,1600,Seldeny R.,d,5.24E+84,N/A,Librería Aurea Clásicos,1666,329,4E,329,329,E,600,j
Color y luz. Teoría y práctica,1599,Jorrit Tornquist,d,5.24E+49,N/A,Gustavo Gili ,1665,330,1A,330,330,B,700,j
Estructuras o por qué las cosas no se caen,1597,James Edward Gordon,d,5.24E+49,N/A,Calamar Edición y Diseñoy S.L.,1664,331,1B,331,331,D,800,j
La arquitectura de la luz natural,1596,Henry Plummer,d,5.24E+64,N/A,Blume,1663,332,2C,332,332,A,900,j
Undestanding Weather and Climate,1595,Edward Aguado & James E. Burt,d,5.24E+84,N/A,Prentice Hall,1662,333,3D,333,333,C,100,j
Inteligencia Social,1594,Daniel Goleman,d,52352,N/A,planeta,1661,334,4E,334,334,E,200,j
MANUAL TÉCNICO DE LA AMERICAN ASSOCIATION OF BLOOD BANKS (AABB),1593,A.A.B.B.,d,5.24E+64,N/A,Z-E,1660,335,1A,335,335,B,300,j
1910-2010 Antología: Un Siglo de Dramaturgia Chilena (4 tomos),1591,Diaz et al,d,5.24E+84,N/A,Bicentenario,1659,336,1B,336,336,D,400,j
Principios de Economía,1590,Bradley R. Schiller,d,5.24E+84,N/A,Mc Graw Hill,1658,337,2C,337,337,A,500,j
Principios de Economía,1589,Bradley R. Schiller,d,5.24E+84,N/A,Mc Graw Hill,1657,338,3D,338,338,C,600,j
Calmar el tráfico. Pasos para una nueva cultura de la movilidad urbana. ,1588,ALFONSO SANZ ALDUÁN,d,5.24E+89,N/A,D.G. de Planificación. Centro de Publicacionesy Ministerio de Fomento,1656,339,4E,339,339,E,700,j
Ecopolisy Architecture and Cities for a Changing Climate,1587,Downtony Paul F.,d,5.24E+84,N/A,Springer Verlag. Australia,1655,340,1A,340,340,B,800,j
A COLOR ATLAS OF PARASITOLOGY,1585,JOHN SULLIVAN,d,5.24E+64,N/A,UNIVERSITY OF SAN FRANCISCO sullivan@usfca.edu,1654,341,1B,341,341,D,900,j
Sistemas de Control de Gestión,1584,Robert Anthony,d,5.24E+84,N/A,Mc Graw Hill,1653,342,2C,342,342,A,100,j
Modelos del Cálculo para las Ciencias Médicas,1583,Gonzalo Riera y Ruben Preiss,d,5.24E+64,N/A,Ediciones Universidad Católica de Chile,1652,343,3D,343,343,C,200,j
clinical management of ovarian cancer,1582,ledermanyjonathan A.,d,5.24E+49,N/A,informa health care ,1651,344,4E,344,344,E,300,j
Manual de Maquinaria de Construccióny 2ª edición (en español),1581,Díaz del Ríoy Manuel,d,5.24E+64,N/A,McGRAW HILL,1650,345,1A,345,345,B,400,j
Terapia Familiar y de Pareja,1579,Roizblatty A.,d,5.24E+59,N/A,desconocido,1649,346,1B,346,346,D,500,j
Sueño: diagnóstico  y tratamiento,1578,Abdaloffy W.,d,5.24E+54,N/A,desconocido,1648,347,2C,347,347,A,600,j
Avances en psicoterapia y cambio psíquico ,1577,Riquelmey R.  Áhumalay E.,d,5.24E+54,N/A,desconocido ,1647,348,3D,348,348,C,700,j
Psiquiatría y Psicologia de la Infancia y Adolescencia,1576,Grauy A y Meneghelloy J.,d,5.24E+54,N/A,desconocido,1646,349,4E,349,349,E,800,j
Depresióny guia y terapeutica,1575,Retamaly P.,d,5.24E+54,N/A,desconocido,1645,350,1A,350,350,B,900,j
Salud Familiar. Un modelo de Atención Integral en la Atención Primaria,1573,Hidalgo C.G. y Carrasco E.,d,5.24E+54,N/A,Desconocido,1644,351,1B,351,351,D,100,j
Tecnicas de Psicoterapias Dinamicas,1572,Florenzanoy R.,d,5.24E+54,N/A,desconocido,1643,352,2C,352,352,A,200,j
Trastornos Bipolares,1571,Correa E.y Silva H.y Risco L.,d,5.24E+54,N/A,desconocido,1642,353,3D,353,353,C,300,j
Fundamentos de Psiquiatría Clínica,1570,Valdivieso F. ,d,5.24E+54,N/A,desconocido,1641,354,4E,354,354,E,400,j
Psiquiatría Clínica ,1569,Heerleiny E.,d,5.24E+54,N/A,DESCONOCIDO,1640,355,1A,355,355,B,500,j
Recomendaciones terapéuticas en los trastornos mentales,1567,Solery J  Perey A. ,d,5.24E+54,N/A,desconocido,1639,356,1B,356,356,D,600,j
Sinopsis de la Psiquiatría ,1566,Sadocky B. Sadock V.,d,5.24E+54,N/A,desconocido,1638,357,2C,357,357,A,700,j
Advances in Food Dehydration ,1565,Cristina Ratti (editor),d,5.24E+64,N/A,CRC Press,1637,358,3D,358,358,C,800,j
